from_cui	to_cui	level
C0020740	C0078956	Moderate
C0016384	C2827241	Major
C0015827	C0027348	Moderate
C0020268	C0061323	Minor
C0024476	C0040869	Moderate
C0028365	C0078774	Moderate
C0002555	C0015011	Moderate
C0009214	C0030438	Major
C0013085	C0073393	Moderate
C0031184	C1456408	Moderate
C0292818	C0537551	Moderate
C0005740	C0016343	Moderate
C0026234	C0216231	Moderate
C0069717	C0072857	Unknown
C0017642	C2350948	Moderate
C0528023	C0796545	Moderate
C1998098	C2980094	Major
C0007716	C0027603	Unknown
C0006686	C0035525	Unknown
C0006674	C0040207	Unknown
C0070166	C0114873	Unknown
C0004259	C0076829	Major
C0054201	C0060389	Unknown
C0538927	C3502652	Moderate
C0010583	C0724511	Major
C0254119	C0298067	Moderate
C0004906	C2935023	Minor
C0020197	C0908935	Minor
C0092777	C0164613	Moderate
C0041090	C4550368	Moderate
C0015620	C0649350	Moderate
C0391001	C2830183	Moderate
C0092801	C3848524	Major
C0016229	C1872203	Major
C0022957	C1142985	Unknown
C0011777	C1122962	Moderate
C0002575	C0075262	Moderate
C0012022	C1456408	Moderate
C0026056	C3818721	Major
C0030883	C0041090	Moderate
C0081876	C0244404	Unknown
C0039865	C2001271	Moderate
C0033308	C0036078	Unknown
C0012010	C0055147	Moderate
C0008838	C3854019	Moderate
C0054201	C1099414	Unknown
C0298130	C3496793	Moderate
C0036579	C3467876	Moderate
C0041031	C4550368	Moderate
C1122962	C3467876	Moderate
C0075262	C3852684	Major
C0011777	C0040374	Minor
C0022322	C3852938	Moderate
C0120107	C1565750	Moderate
C0032952	C4726770	Moderate
C0017642	C0072973	Moderate
C3657824	C4018471	Major
C0007257	C0064113	Unknown
C0027396	C2935436	Moderate
C0011685	C0014563	Major
C0005308	C3264621	Moderate
C1871526	C3177235	Moderate
C0085149	C1609165	Moderate
C0012010	C0032950	Minor
C0040979	C0068333	Moderate
C0299792	C3852684	Moderate
C0001047	C0024730	Unknown
C0040372	C0073983	Moderate
C0026056	C1619629	Moderate
C0028978	C1566826	Major
C0383429	C4049141	Moderate
C0020273	C0039542	Moderate
C0006949	C0023413	Moderate
C0057558	C0293359	Moderate
C0077275	C1831796	Moderate
C0027348	C0527189	Moderate
C0028351	C0167117	Moderate
C0085379	C2343589	Moderate
C0053245	C2000145	Moderate
C0000956	C0002333	Unknown
C0052762	C0246631	Moderate
C0019453	C0666743	Major
C0033405	C0107994	Moderate
C0752270	C1619966	Minor
C0252643	C0254119	Moderate
C0040610	C4329353	Major
C0025887	C3490329	Moderate
C0011777	C0022245	Minor
C0079083	C2350866	Moderate
C0040207	C2987417	Major
C0012125	C0913246	Unknown
C0034665	C0045093	Unknown
C0756085	C2830183	Moderate
C0002644	C4519232	Moderate
C0031412	C1121849	Moderate
C0006837	C0146224	Moderate
C0022026	C0057626	Major
C4044947	C4743552	Major
C0027996	C1313386	Moderate
C0014310	C0538927	Moderate
C0020268	C0149381	Minor
C4079208	C4482908	Major
C0043031	C1455147	Major
C1506770	C2744850	Moderate
C0034414	C0771269	Major
C0209211	C3502191	Major
C0393080	C3886460	Moderate
C0026256	C0765273	Minor
C0016280	C0040899	Moderate
C0016368	C0085149	Moderate
C0024476	C3851350	Moderate
C0004482	C0010927	Moderate
C2698692	C2714632	Major
C0023992	C0045093	Unknown
C0244404	C0537147	Unknown
C0024730	C0993630	Minor
C0012125	C0146011	Moderate
C0008845	C2935023	Moderate
C0017066	C0050940	Unknown
C1174995	C2930696	Major
C0011777	C3659310	Major
C0005116	C0079594	Moderate
C0012373	C3854019	Unknown
C0029112	C0213404	Moderate
C0012963	C0013085	Major
C0015846	C0071097	Unknown
C0015827	C0022005	Major
C0077524	C0293359	Moderate
C0013089	C0033229	Moderate
C0013092	C0020404	Moderate
C0893761	C3818721	Major
C0040934	C1172734	Moderate
C0039943	C0054340	Moderate
C0011816	C2713632	Moderate
C0012306	C0085259	Unknown
C0009079	C0012091	Unknown
C0026549	C1700683	Moderate
C0525227	C1565316	Moderate
C0140610	C0209210	Unknown
C0032143	C0879399	Major
C0028040	C4055478	Moderate
C2974289	C2975435	Major
C0008269	C1831731	Major
C0007554	C0771269	Moderate
C0169964	C0674428	Moderate
C0893761	C2974289	Moderate
C0004259	C0040341	Unknown
C0020264	C0754011	Major
C0085173	C3192263	Major
C0008845	C0019134	Moderate
C0009011	C0070563	Moderate
C0028978	C4079582	Major
C0085173	C2000088	Moderate
C0015837	C3713057	Moderate
C0085154	C1122962	Moderate
C0013085	C0033126	Moderate
C0728747	C2316164	Moderate
C0038689	C3661315	Moderate
C1722260	C4519258	Moderate
C0078569	C0081876	Unknown
C0085154	C0209738	Unknown
C1174995	C2347624	Moderate
C0032950	C0073992	Minor
C0060657	C0293359	Moderate
C0045093	C1122962	Unknown
C0008269	C0021734	Moderate
C0055856	C0074710	Unknown
C1453642	C2350866	Moderate
C0034414	C3899947	Moderate
C0025677	C1269691	Moderate
C0528023	C4079208	Moderate
C0040233	C1722260	Major
C0008196	C0035525	Unknown
C0013085	C0146011	Moderate
C0072980	C0289313	Moderate
C0009279	C0043668	Moderate
C0008783	C4056441	Moderate
C1506770	C3255208	Moderate
C0006863	C0041031	Moderate
C0055147	C0066685	Unknown
C1699926	C1948068	Major
C0033308	C0127615	Unknown
C0022487	C0027302	Minor
C0042313	C0082607	Unknown
C0063041	C0762662	Major
C0041090	C2001271	Moderate
C0000970	C0073992	Unknown
C0024977	C0293359	Moderate
C0038425	C0043474	Unknown
C0012772	C0018546	Unknown
C0025152	C4080091	Moderate
C0010711	C0017628	Unknown
C0014582	C0909839	Moderate
C0049506	C3852684	Moderate
C0041165	C0076836	Major
C0032825	C0054672	Major
C0011276	C0717537	Moderate
C0032952	C0034414	Unknown
C2343589	C4055433	Moderate
C0010583	C0021186	Moderate
C0146224	C0536495	Minor
C1135135	C3496793	Moderate
C0018988	C1999375	Moderate
C0014710	C0935989	Moderate
C0020336	C0537270	Moderate
C0001047	C0527316	Unknown
C0002658	C0041014	Moderate
C0032825	C0971579	Unknown
C0055147	C0075632	Unknown
C0015620	C4287815	Moderate
C0085174	C0114873	Unknown
C0040989	C2974540	Moderate
C0026256	C4519269	Moderate
C0717758	C5227411	Major
C0032911	C0213404	Moderate
C0013090	C0032952	Unknown
C0008287	C0016365	Moderate
C0039623	C1699926	Major
C2698692	C4683810	Major
C0010620	C0657912	Moderate
C0002144	C0004057	Unknown
C0008281	C0073633	Moderate
C0016967	C0041098	Moderate
C0064079	C0908935	Unknown
C0025381	C0671970	Moderate
C0031412	C1718383	Moderate
C0064585	C1506770	Moderate
C0012093	C0028978	Unknown
C2698692	C4519167	Moderate
C0002333	C0011816	Moderate
C0023586	C0209210	Moderate
C0071836	C1456408	Minor
C0006674	C0016365	Unknown
C0016945	C0296800	Unknown
C0008996	C0013085	Moderate
C0050940	C0289313	Unknown
C0085379	C0301508	Major
C0020823	C0029309	Moderate
C0006464	C0057605	Moderate
C0020404	C0074554	Unknown
C0717537	C0919292	Moderate
C0016365	C0055856	Moderate
C0032825	C0525005	Unknown
C1721377	C4277781	Major
C0008929	C0010620	Moderate
C1707080	C4079208	Moderate
C0025859	C0036079	Minor
C0002555	C1135132	Moderate
C1619629	C3192263	Moderate
C0039512	C2974289	Moderate
C0085208	C2973446	Moderate
C0027302	C0040372	Moderate
C0040165	C0936148	Unknown
C4079830	C5230959	Moderate
C0010980	C0114873	Unknown
C0015133	C0082607	Unknown
C1831828	C4733494	Major
C0009010	C0042313	Unknown
C0005320	C0033405	Moderate
C0008783	C0060276	Minor
C1174893	C3855916	Moderate
C0039865	C0041098	Moderate
C0002600	C0121902	Moderate
C2930696	C3491331	Major
C0025859	C3853921	Moderate
C0012091	C3529928	Moderate
C0072916	C4317559	Moderate
C0007716	C0085154	Unknown
C0010980	C0055003	Unknown
C0210657	C1172734	Major
C0008280	C2936870	Moderate
C0070709	C0360172	Moderate
C0085259	C0965129	Unknown
C0028902	C0031862	Unknown
C0060179	C0246689	Moderate
C0012522	C0016365	Moderate
C0025854	C4079805	Moderate
C0078956	C2974521	Major
C0020336	C0031990	Unknown
C0026388	C0027235	Minor
C2983812	C3853822	Minor
C0006674	C0027396	Unknown
C0024977	C0537270	Moderate
C0010620	C0033254	Moderate
C0042679	C0246154	Moderate
C0024480	C0282386	Moderate
C0025677	C0037982	Unknown
C0020268	C0028365	Major
C0002640	C0008318	Moderate
C1611934	C4018471	Moderate
C0006949	C0032952	Moderate
C2974289	C4042960	Moderate
C0015772	C0039736	Moderate
C0022957	C0028833	Unknown
C2350948	C4278675	Major
C0008838	C0060926	Unknown
C0021971	C0127615	Major
C0012133	C2347624	Moderate
C0017245	C0065180	Unknown
C0006681	C0034283	Moderate
C0213771	C0718050	Unknown
C0033229	C0038633	Minor
C0289313	C2604635	Major
C0025815	C2828290	Major
C0009014	C0029112	Moderate
C0008287	C0533545	Major
C0008809	C0085170	Moderate
C0032483	C0085173	Moderate
C0002600	C0378466	Unknown
C0023660	C0146011	Unknown
C0011777	C0123677	Moderate
C0040979	C1455035	Moderate
C0391001	C1311070	Moderate
C1608841	C4726732	Major
C0121902	C4682397	Major
C0016365	C1098510	Moderate
C0040372	C0054094	Moderate
C0078257	C0301508	Major
C0146224	C4519220	Moderate
C0011015	C0530684	Moderate
C0014921	C0040374	Moderate
C0025678	C0030095	Moderate
C1453642	C4682397	Major
C0040864	C0170531	Moderate
C0009011	C0055856	Moderate
C0717360	C2973446	Moderate
C0076836	C4277781	Major
C0022939	C0728747	Moderate
C0028833	C0050940	Unknown
C0008838	C0126174	Unknown
C0935989	C2606556	Moderate
C0025853	C0059985	Unknown
C0085170	C0530684	Moderate
C0011892	C0033223	Major
C2934193	C2986924	Moderate
C0004057	C0054094	Moderate
C0026549	C0379199	Unknown
C0042845	C0257343	Unknown
C0038689	C0220578	Minor
C0039865	C4550368	Moderate
C0001962	C0085542	Moderate
C0770555	C0935989	Moderate
C0039736	C0072857	Unknown
C0008273	C2348248	Moderate
C0008168	C1144149	Moderate
C0065374	C0074493	Unknown
C0028116	C0032825	Unknown
C0016229	C1609931	Moderate
C0065152	C4519273	Moderate
C0004259	C0090306	Unknown
C0167117	C2935023	Moderate
C0058218	C1948068	Moderate
C0031392	C0055147	Moderate
C0005640	C0085208	Moderate
C0114771	C4083129	Major
C0034282	C0048044	Moderate
C0030049	C0092777	Unknown
C0025815	C0035923	Major
C0092777	C4045494	Moderate
C0299792	C0527189	Moderate
C0030072	C0043031	Major
C0006051	C0041031	Moderate
C0023992	C1135135	Unknown
C0961965	C3179535	Moderate
C0061938	C4079805	Moderate
C1098510	C1998098	Major
C0038633	C0299792	Unknown
C0072980	C2973895	Moderate
C0006463	C0014310	Minor
C0034131	C0123931	Moderate
C0012525	C2933912	Moderate
C3501358	C4519167	Major
C0301508	C4049141	Major
C0041056	C4079208	Moderate
C0040864	C0061863	Unknown
C0011276	C0030827	Moderate
C0018549	C0033405	Moderate
C0001962	C0008223	Moderate
C1337242	C4287815	Moderate
C0017642	C0083381	Moderate
C0010583	C0718050	Unknown
C0301374	C3712232	Moderate
C0015620	C1176315	Moderate
C0016365	C0025039	Moderate
C1176306	C1831796	Moderate
C0041920	C0666743	Major
C0877880	C4683810	Major
C0016860	C0247025	Unknown
C0218986	C5828321	Moderate
C0292818	C4079830	Major
C0033473	C0038633	Minor
C0015846	C0054672	Moderate
C0031412	C4045494	Major
C0008287	C0167117	Moderate
C0013085	C0033497	Moderate
C0065023	C0771269	Moderate
C2987603	C3848524	Moderate
C0006462	C0008783	Unknown
C1506770	C4055478	Moderate
C0002412	C0596004	Moderate
C0023413	C0065180	Unknown
C0065180	C1435444	Moderate
C0002711	C0006464	Moderate
C0058056	C0085208	Major
C0030049	C4278675	Major
C0004475	C2744440	Moderate
C0025033	C0030812	Minor
C0038633	C0074393	Unknown
C3852841	C4044947	Major
C0043668	C5392453	Moderate
C0057258	C0965618	Moderate
C0035923	C2698152	Major
C0525005	C2935436	Moderate
C0025039	C0753678	Moderate
C0070166	C3496793	Moderate
C0025854	C0538927	Moderate
C4056441	C4079208	Moderate
C1172734	C4058811	Major
C0039736	C0040979	Moderate
C0020740	C0029983	Unknown
C0051919	C0076110	Moderate
C0059865	C0074554	Unknown
C0004482	C3501358	Moderate
C0028368	C1872109	Moderate
C0012022	C0071097	Moderate
C0069717	C3818721	Major
C0123931	C0209337	Minor
C0010620	C0070072	Moderate
C0012091	C0042313	Moderate
C0016280	C0246689	Moderate
C0014582	C1872109	Major
C0014963	C0050940	Moderate
C0378466	C2974289	Moderate
C0913469	C2350656	Moderate
C0052759	C1099456	Moderate
C0020223	C0525227	Moderate
C0028027	C0246689	Moderate
C0005308	C5235396	Moderate
C0052759	C0054672	Moderate
C0042523	C3272698	Major
C0023660	C0252643	Minor
C0754011	C0966107	Minor
C0028040	C0054201	Unknown
C0011276	C0071568	Moderate
C0040372	C1134467	Moderate
C0022176	C0031469	Moderate
C0536495	C1533699	Minor
C0000992	C2350948	Moderate
C0059865	C2698385	Major
C4044947	C4049146	Major
C0062941	C3181682	Major
C0033223	C2000145	Moderate
C0008809	C1122962	Moderate
C0076823	C1506770	Moderate
C0039623	C0039736	Moderate
C0010583	C0015846	Unknown
C0039512	C2987417	Moderate
C0022034	C0038425	Major
C0075262	C4086264	Major
C0040372	C0073999	Moderate
C0016277	C0055003	Unknown
C3181682	C5392453	Major
C1998098	C4550368	Moderate
C0006938	C0020264	Moderate
C0244404	C0908935	Unknown
C0061323	C0061851	Unknown
C2973895	C4305843	Moderate
C0043031	C4519258	Moderate
C1516119	C2986922	Major
C0020823	C0724511	Major
C0040864	C0065374	Moderate
C0012373	C2974540	Moderate
C0022499	C0033447	Moderate
C0289313	C0770555	Moderate
C0051919	C0054201	Moderate
C0244404	C0718050	Unknown
C4080091	C4325235	Moderate
C1456409	C1678805	Moderate
C1099414	C1506770	Minor
C0006863	C0030072	Moderate
C0031862	C0032950	Unknown
C0068992	C0717758	Moderate
C2316164	C2698692	Major
C0007716	C0127615	Unknown
C0071129	C4508938	Moderate
C0027360	C3700399	Moderate
C2828290	C4045494	Moderate
C0022939	C0025872	Moderate
C4045491	C4287815	Moderate
C2930696	C4726770	Moderate
C0017887	C0020740	Unknown
C0018242	C1176316	Moderate
C0026196	C0074393	Unknown
C0146011	C0378482	Unknown
C0042874	C1174995	Minor
C0009074	C0025677	Moderate
C0025872	C0257685	Unknown
C0674428	C3886623	Major
C0025872	C0288171	Unknown
C0060135	C1135132	Moderate
C0018546	C3712232	Moderate
C0033148	C3852841	Major
C0002371	C0033497	Minor
C0039902	C1174995	Moderate
C0048470	C4743552	Major
C0000545	C2975435	Moderate
C0525227	C3714572	Unknown
C0065879	C1611934	Moderate
C0061323	C0246415	Unknown
C0041014	C0042291	Unknown
C1699926	C3529928	Major
C0069717	C0069805	Unknown
C0024730	C0028214	Moderate
C0062941	C0872913	Major
C0014025	C3490348	Moderate
C0022180	C0029112	Moderate
C0050940	C0246421	Unknown
C1099677	C4058811	Major
C0060389	C0085149	Moderate
C0002640	C0042670	Moderate
C0025039	C0213404	Moderate
C0765273	C1831731	Moderate
C0027360	C3853921	Moderate
C0022860	C0025872	Unknown
C0025242	C0025872	Unknown
C0023992	C1699926	Moderate
C0164613	C4726677	Moderate
C0040165	C1958126	Moderate
C0146224	C0526371	Moderate
C0013089	C0032825	Unknown
C0026259	C0039468	Unknown
C2606637	C4682397	Moderate
C0034282	C1099456	Moderate
C0076836	C0754188	Major
C0022154	C0039663	Moderate
C0075262	C3853822	Moderate
C0042313	C4731850	Major
C0035923	C1269691	Major
C0002644	C3886623	Moderate
C1831905	C2713008	Moderate
C0040805	C4287815	Moderate
C0766326	C4287815	Major
C0018988	C0033148	Major
C0014582	C0068771	Moderate
C0013085	C0018546	Major
C0026549	C0218986	Moderate
C0065180	C1122962	Unknown
C0007537	C0028978	Unknown
C0011777	C1176306	Moderate
C0031463	C4045494	Moderate
C2714632	C3179535	Moderate
C0022034	C0028094	Moderate
C0014912	C0123677	Moderate
C0006405	C0012022	Moderate
C0012373	C0018242	Moderate
C0005116	C0085208	Moderate
C0008929	C0600175	Moderate
C0965129	C1176306	Unknown
C0010711	C0765273	Major
C0040165	C0167117	Moderate
C0525227	C0795674	Moderate
C0057258	C2930696	Major
C0527316	C1506770	Minor
C0033743	C0120107	Moderate
C0008196	C3714572	Unknown
C0724614	C1722260	Moderate
C0034417	C4078701	Moderate
C1099414	C1999375	Minor
C0024977	C0074393	Major
C0012702	C0028833	Moderate
C0038687	C4291328	Major
C0071129	C0121902	Moderate
C0144576	C0728747	Moderate
C0011015	C0039871	Moderate
C0031447	C0205758	Moderate
C0023413	C0039601	Unknown
C0031463	C2974289	Moderate
C0011777	C0164662	Unknown
C0123677	C2353951	Moderate
C0011786	C0025853	Moderate
C0017628	C0072980	Moderate
C0009014	C0014806	Unknown
C0036079	C3491971	Moderate
C0026187	C0051919	Moderate
C0005116	C0032483	Moderate
C0059985	C0249458	Unknown
C0039736	C0039955	Moderate
C0042845	C0083381	Unknown
C0010980	C1721300	Minor
C0074722	C0249582	Unknown
C0012702	C3853839	Moderate
C0024480	C0065162	Moderate
C0002555	C0014710	Moderate
C0013090	C0034417	Minor
C0031495	C0520472	Moderate
C0026549	C0045093	Unknown
C0006949	C0074722	Unknown
C0015772	C0038633	Unknown
C0001927	C0077275	Moderate
C0023586	C4278675	Moderate
C0065864	C0936148	Moderate
C4519594	C4726929	Major
C0074710	C0378466	Unknown
C0024476	C0028365	Moderate
C0031463	C1516119	Moderate
C0002333	C0074493	Moderate
C0042679	C0246415	Moderate
C0031184	C0064585	Moderate
C0290883	C0538927	Unknown
C0671970	C1122962	Unknown
C0008845	C0074281	Unknown
C0077163	C2725260	Moderate
C0064113	C1703334	Minor
C0004057	C0877880	Major
C0000970	C0028128	Unknown
C0005308	C3179549	Moderate
C0007735	C0027603	Moderate
C0724532	C2980094	Major
C0537551	C3467876	Moderate
C0024476	C1567130	Moderate
C2974289	C3496793	Major
C1721377	C4045491	Minor
C4505936	C4524315	Moderate
C0040934	C0072980	Moderate
C0851344	C4086895	Moderate
C0016280	C0169964	Moderate
C0010980	C4329353	Moderate
C0016410	C0049506	Unknown
C0010592	C0026933	Moderate
C0025153	C4277781	Moderate
C0012772	C0020934	Minor
C0005038	C0032483	Moderate
C0013084	C0330206	Moderate
C0011701	C0039601	Unknown
C0008783	C0012291	Moderate
C0014942	C0041014	Moderate
C0085149	C0937858	Moderate
C0008280	C0078839	Moderate
C0033429	C1506770	Moderate
C0029193	C4277781	Moderate
C0025815	C0041165	Major
C0051150	C4519273	Moderate
C0053799	C4082438	Moderate
C0004147	C0010583	Unknown
C0028978	C0936148	Moderate
C0020336	C0078847	Unknown
C0011816	C0073393	Moderate
C0011707	C0071097	Minor
C0020336	C3661315	Major
C0006400	C0074722	Unknown
C0063817	C0286651	Unknown
C0073372	C4078312	Major
C0057258	C2746078	Moderate
C0042874	C0378366	Moderate
C0121902	C0753645	Major
C0144576	C2713008	Moderate
C0032952	C3848524	Moderate
C0142825	C1566826	Moderate
C0033487	C4079208	Moderate
C0039943	C2350866	Major
C0008269	C1876229	Moderate
C0001047	C0040207	Unknown
C0053230	C0079083	Moderate
C0007716	C0076080	Unknown
C0030812	C0063828	Moderate
C0383429	C1882138	Moderate
C0770578	C1455147	Moderate
C0216278	C1176020	Moderate
C0076836	C0257190	Major
C3886073	C4287815	Moderate
C0010592	C1701455	Moderate
C0022265	C0244656	Moderate
C0013090	C0073393	Unknown
C0033405	C0035179	Moderate
C0039663	C0657912	Moderate
C0017628	C0034414	Moderate
C0008281	C0069805	Moderate
C0537270	C3885614	Moderate
C2973446	C5448248	Moderate
C1506770	C3496793	Moderate
C0085542	C0796545	Moderate
C0059668	C2607479	Moderate
C0034417	C0526371	Moderate
C0065374	C0065517	Minor
C0038633	C0127615	Unknown
C0026187	C1130428	Moderate
C0011777	C0017066	Unknown
C0020823	C0909381	Moderate
C0020264	C0525678	Moderate
C0024730	C0061851	Unknown
C0033567	C4079805	Moderate
C0018312	C0525227	Moderate
C0039663	C0074393	Moderate
C0028214	C0039629	Major
C0003596	C0051809	Major
C3264621	C4329353	Major
C0673470	C1872203	Moderate
C0028365	C0061863	Moderate
C0022625	C4519220	Moderate
C0008168	C0059985	Moderate
C0038687	C0254119	Moderate
C1533699	C3541342	Moderate
C0033148	C0538927	Unknown
C0033223	C0074493	Major
C0023566	C0071097	Minor
C0011777	C0068485	Moderate
C0027603	C0076840	Major
C0011701	C0012091	Moderate
C0040610	C3192263	Major
C0010592	C0015837	Moderate
C0026933	C0041165	Moderate
C0025598	C0029995	Unknown
C1455147	C4078806	Moderate
C1664205	C3467876	Major
C0021246	C0213771	Unknown
C0039902	C2931926	Moderate
C0011786	C0051809	Moderate
C0213771	C3712232	Moderate
C0040610	C1998098	Major
C0041920	C1872109	Major
C0008281	C0360172	Moderate
C0002645	C0025859	Unknown
C0015011	C4548369	Moderate
C0028356	C2353951	Moderate
C0085149	C0762662	Major
C0065512	C1831731	Moderate
C0017628	C0026196	Unknown
C1145759	C4045494	Major
C0039865	C0795635	Moderate
C0047506	C0813171	Major
C2714632	C2717561	Moderate
C0013090	C0028978	Unknown
C0014806	C0040845	Moderate
C0010592	C0025853	Moderate
C0012373	C2347624	Moderate
C0008287	C0771311	Unknown
C0004482	C4743552	Moderate
C0078569	C0872913	Moderate
C0052940	C3502652	Moderate
C0025942	C0076840	Moderate
C0025598	C0033308	Moderate
C3467876	C4053698	Major
C0079466	C4287815	Moderate
C0023992	C0754011	Major
C1145760	C1176329	Unknown
C1313386	C1572572	Moderate
C0677829	C0699817	Moderate
C0025678	C0903898	Moderate
C0009074	C0073393	Unknown
C1311070	C4746084	Moderate
C0064079	C0851344	Unknown
C0012582	C0305040	Moderate
C0010192	C2986922	Moderate
C0060135	C3848580	Moderate
C0054201	C0085208	Unknown
C0296800	C1516119	Moderate
C0053245	C0218986	Moderate
C0009279	C0030092	Minor
C0164613	C2316164	Moderate
C0050559	C1718383	Major
C0024476	C1121849	Moderate
C0245109	C4726929	Major
C0013089	C1506770	Moderate
C0027396	C0034665	Moderate
C0013547	C0164662	Unknown
C0042291	C0538927	Moderate
C0244821	C0527189	Moderate
C0011777	C0301508	Major
C0058218	C1134659	Moderate
C0020273	C0076836	Moderate
C0909381	C0935989	Moderate
C0004320	C0012772	Moderate
C0022034	C4731850	Major
C0013085	C4079208	Moderate
C0022034	C0040899	Moderate
C0016377	C2980094	Major
C0009014	C0213771	Unknown
C0004482	C1690432	Moderate
C0001367	C0025659	Unknown
C0042679	C3489764	Moderate
C0907410	C1718383	Major
C0026549	C0053799	Moderate
C0020789	C0034131	Moderate
C0013089	C0246421	Unknown
C0042670	C3657824	Major
C0907410	C3661315	Moderate
C0031463	C0772394	Moderate
C1722260	C1873633	Moderate
C0006462	C0143083	Moderate
C0014806	C0144576	Moderate
C0022245	C0049506	Moderate
C0055147	C0070563	Moderate
C0013085	C0033215	Moderate
C0120107	C0531104	Major
C0006949	C0039771	Moderate
C0033229	C0079083	Unknown
C0040165	C0073372	Moderate
C0008929	C0025497	Moderate
C0043031	C0216784	Unknown
C0033743	C0041014	Moderate
C0074710	C0085149	Unknown
C0032143	C0538927	Moderate
C0072980	C3489764	Moderate
C0015133	C1718383	Major
C0012265	C0063041	Unknown
C0033798	C0537270	Moderate
C0022625	C2975435	Major
C0018546	C0033126	Major
C0012125	C0015620	Unknown
C0537551	C1435444	Moderate
C0033148	C2975435	Moderate
C0028978	C0533545	Minor
C0031412	C0052762	Moderate
C0027235	C0772089	Minor
C0059668	C0246421	Moderate
C0000956	C0024002	Unknown
C0040934	C2930696	Moderate
C0008845	C0872913	Moderate
C0012525	C0055891	Moderate
C0007557	C0011777	Unknown
C4330903	C4723629	Moderate
C0001927	C0209337	Unknown
C0011777	C0054836	Moderate
C0012582	C0072973	Unknown
C0002475	C0012582	Unknown
C0039512	C0062941	Moderate
C2349941	C3272698	Major
C0020789	C2931926	Moderate
C0030049	C0765273	Moderate
C0030863	C0041031	Moderate
C0039902	C0772051	Major
C0006863	C1619629	Moderate
C0055711	C0070122	Unknown
C0050940	C0114873	Unknown
C0015011	C0389169	Moderate
C0025376	C0220578	Major
C0070166	C0771311	Unknown
C0025853	C0036516	Moderate
C3852841	C4682397	Moderate
C0004057	C0008947	Unknown
C0012258	C0070203	Moderate
C0023992	C0132326	Unknown
C0019134	C0127615	Unknown
C0012373	C1135135	Unknown
C0040374	C0770555	Moderate
C0012010	C0073992	Unknown
C1453933	C1718383	Moderate
C0020268	C2986922	Moderate
C0006491	C0055147	Moderate
C0525005	C4078312	Major
C0073631	C0092777	Moderate
C0007561	C0020402	Unknown
C0020223	C0699817	Moderate
C0016945	C0055856	Unknown
C0076080	C0378482	Unknown
C0009079	C1269691	Major
C0137996	C0282386	Moderate
C0002563	C0033229	Major
C1516119	C4507568	Moderate
C0006376	C0012582	Unknown
C0015021	C0039736	Moderate
C0008188	C0025598	Unknown
C2987603	C4278675	Major
C0002403	C0057605	Moderate
C0041014	C0050940	Moderate
C0020404	C1516119	Moderate
C0002502	C0010592	Moderate
C0040989	C1121849	Major
C0034417	C0753678	Moderate
C0765273	C2003424	Moderate
C0025853	C0040341	Unknown
C0025815	C0026549	Unknown
C0001443	C0025853	Unknown
C0018318	C0026196	Major
C0070122	C1122962	Unknown
C0028902	C1567130	Moderate
C0006462	C0017642	Unknown
C0030049	C0296800	Unknown
C0008294	C0039736	Unknown
C0042313	C0754820	Unknown
C0033567	C0081876	Unknown
C0017642	C0033209	Moderate
C0028978	C0165921	Unknown
C0040864	C3852938	Moderate
C0040610	C0064585	Moderate
C0021186	C0060657	Moderate
C0002679	C0209227	Unknown
C0010592	C1872203	Moderate
C0017642	C0020268	Minor
C0210630	C5227411	Moderate
C0033497	C2350948	Moderate
C0060135	C2830183	Moderate
C0010711	C0388753	Unknown
C0036579	C0525227	Moderate
C0030125	C0254119	Moderate
C0060926	C0935916	Unknown
C0006405	C0666743	Moderate
C0966107	C2935023	Moderate
C0020404	C0291772	Unknown
C0009262	C1882138	Moderate
C0001911	C4726770	Moderate
C0032950	C3885068	Moderate
C0016277	C4723629	Major
C0000618	C0060926	Unknown
C0040864	C0961485	Moderate
C0393022	C4278675	Major
C0025611	C2607479	Moderate
C0008241	C0033228	Moderate
C0002333	C0296800	Unknown
C0012004	C0012086	Moderate
C0024476	C0052796	Moderate
C0765273	C3896940	Major
C2350866	C5828321	Moderate
C0006462	C0041098	Moderate
C0025942	C1145759	Moderate
C0015620	C0085154	Unknown
C0041038	C0525227	Moderate
C0023992	C0082646	Unknown
C0023972	C2698692	Moderate
C0025241	C0536495	Minor
C0043031	C0076823	Unknown
C1311070	C3541342	Moderate
C0061851	C0126177	Unknown
C0039871	C1882138	Moderate
C0063829	C3854019	Major
C0039601	C0246689	Moderate
C0000981	C4079805	Moderate
C0001367	C0008809	Unknown
C0031507	C3853822	Major
C0020740	C0971579	Unknown
C0025152	C0244713	Moderate
C0079594	C2974540	Moderate
C0008809	C1721377	Major
C0009262	C0014806	Major
C0040879	C0042845	Unknown
C0383429	C1706668	Moderate
C0004147	C0033567	Moderate
C0076891	C0795635	Moderate
C3177235	C4683810	Major
C0063041	C0218986	Major
C0042523	C1999375	Moderate
C0014806	C0026259	Moderate
C3177235	C4519167	Moderate
C0007716	C0025598	Moderate
C0068334	C0282386	Moderate
C0020264	C0030873	Major
C0006246	C0006837	Moderate
C0040845	C1456409	Moderate
C0040207	C1831808	Major
C0766108	C4287815	Moderate
C0072828	C1506770	Moderate
C0025598	C0529793	Unknown
C0042874	C3179547	Minor
C0018318	C0057258	Moderate
C0008992	C0907402	Minor
C0033209	C0070166	Unknown
