from_cui	to_cui	level
C0064007	C0071129	Moderate
C0002598	C0034665	Unknown
C0042523	C0290883	Unknown
C0039865	C0069805	Moderate
C0029995	C0092777	Moderate
C0000618	C0049065	Moderate
C0536495	C1121849	Major
C0031937	C1433439	Moderate
C0008280	C0035179	Moderate
C0298130	C0663241	Unknown
C0040987	C1174995	Moderate
C0016384	C0070166	Unknown
C0020336	C0079594	Unknown
C0011786	C0016368	Moderate
C0060657	C0937858	Moderate
C0085149	C3467876	Moderate
C0132326	C0254119	Moderate
C0163055	C1269691	Moderate
C0010592	C2976303	Minor
C2349941	C4330903	Moderate
C0076836	C0209210	Major
C0600296	C2987417	Moderate
C0045093	C1831828	Major
C0027353	C0126777	Moderate
C2316164	C4505936	Moderate
C0025810	C0025872	Unknown
C0388753	C3177235	Moderate
C0041098	C0165921	Moderate
C1831731	C3252090	Moderate
C0060389	C3854019	Unknown
C1699926	C4683810	Major
C0072980	C0286079	Major
C0016229	C0063041	Unknown
C0041031	C0055856	Moderate
C0025598	C2936870	Moderate
C0140575	C3272698	Major
C0006405	C0209210	Major
C0043031	C0072973	Unknown
C0008783	C0146011	Major
C0069805	C0087163	Unknown
C0018546	C3272698	Moderate
C0005096	C3179549	Moderate
C0030863	C0753678	Moderate
C0031507	C1739768	Major
C0011816	C0012522	Moderate
C0026187	C0035608	Unknown
C0012203	C0040374	Moderate
C1176329	C2714632	Moderate
C0018513	C2973895	Minor
C0028902	C0052416	Major
C0025598	C3467876	Moderate
C0246415	C3848524	Moderate
C0050393	C0536495	Moderate
C1144149	C2698692	Moderate
C0010583	C0056732	Unknown
C0004259	C0070122	Unknown
C0007343	C1831731	Moderate
C1723401	C2353893	Major
C0079083	C0127615	Unknown
C0008168	C1122087	Moderate
C0002335	C3490348	Moderate
C0006932	C0288672	Minor
C0002600	C0040165	Moderate
C0010620	C2001271	Moderate
C0146224	C1098261	Moderate
C0055856	C0393080	Moderate
C0078569	C0378482	Unknown
C0057258	C0383429	Moderate
C0014912	C3490348	Moderate
C0039623	C0077071	Moderate
C0011777	C0032912	Moderate
C0022028	C0766108	Moderate
C0537551	C3491971	Moderate
C0030883	C1721377	Moderate
C0039902	C0391001	Moderate
C0026056	C0253563	Unknown
C0072980	C0144576	Moderate
C1506770	C4519167	Major
C0002679	C0379199	Moderate
C0014704	C3712232	Moderate
C0004475	C2718773	Moderate
C0006246	C0244821	Moderate
C4049146	C4524315	Moderate
C0301366	C4287815	Moderate
C0041031	C0121902	Moderate
C0008183	C1699861	Moderate
C0032483	C0055856	Moderate
C0169964	C1135135	Moderate
C0025678	C3272698	Major
C0016945	C0026549	Unknown
C0074493	C0754188	Minor
C0082607	C0286651	Unknown
C0076110	C0298067	Moderate
C0002563	C0879427	Major
C0049506	C3853822	Moderate
C0006464	C0040263	Moderate
C0008845	C0068771	Major
C0011777	C1611934	Moderate
C0034665	C0251504	Unknown
C0126774	C3529928	Moderate
C0013092	C0033148	Moderate
C0008838	C0009074	Unknown
C0033405	C2698764	Moderate
C0002371	C0034665	Minor
C0000618	C0028365	Minor
C0016225	C0055877	Moderate
C0031469	C2974540	Moderate
C0021735	C0907349	Moderate
C0082607	C0209227	Unknown
C0008196	C0076829	Unknown
C0050393	C0055617	Moderate
C0071129	C1455147	Moderate
C0209210	C1533126	Major
C0210630	C0525079	Moderate
C0001962	C3179535	Moderate
C0012201	C0031392	Major
C0008838	C0010934	Moderate
C0004320	C0246415	Moderate
C0065180	C1176329	Unknown
C0015689	C0086140	Moderate
C0525005	C1721377	Major
C0042670	C0538927	Unknown
C0001962	C0009014	Moderate
C0025153	C0028420	Moderate
C0066677	C2316164	Major
C0065767	C0529793	Unknown
C1707080	C4726770	Moderate
C0008845	C0024730	Moderate
C2698385	C4086895	Major
C0023413	C0031990	Unknown
C0033405	C0062092	Moderate
C0173083	C3192263	Moderate
C0143083	C4078701	Moderate
C0026088	C0085170	Major
C0012133	C0013547	Unknown
C0050940	C4078312	Major
C0965129	C1516119	Unknown
C0001962	C0244656	Moderate
C0022635	C2987417	Major
C0013136	C0020336	Major
C0008845	C0378482	Unknown
C0059985	C2973446	Moderate
C0012010	C0040165	Unknown
C0052585	C4086264	Major
C0907349	C2001856	Moderate
C0025678	C2350948	Moderate
C0012091	C0772394	Moderate
C0011685	C0025853	Moderate
C0017861	C1721377	Moderate
C0028420	C3496793	Moderate
C0541315	C0754280	Moderate
C1176020	C4078701	Moderate
C0017887	C0036078	Unknown
C0286738	C4086264	Major
C0031184	C1121849	Major
C0033216	C4682397	Major
C0013089	C0935916	Unknown
C2980094	C4505936	Moderate
C0020336	C0244821	Unknown
C0033148	C0052762	Moderate
C0012091	C0013085	Unknown
C0021186	C0063041	Unknown
C0031463	C0063828	Major
C0031184	C1455035	Moderate
C0040165	C3714572	Unknown
C0529351	C2974289	Moderate
C0300205	C0541315	Moderate
C0019134	C1831808	Major
C0011015	C0020404	Moderate
C0004057	C0021246	Moderate
C0762662	C3854019	Moderate
C2931926	C2974289	Minor
C0009214	C0521083	Moderate
C0013615	C0034414	Moderate
C0042670	C1122087	Major
C0045093	C0288171	Unknown
C0006491	C0020823	Moderate
C1176020	C1455035	Moderate
C0001927	C0012086	Moderate
C0028066	C0036078	Unknown
C0005096	C0137996	Moderate
C0071097	C0290883	Unknown
C0016277	C0016299	Unknown
C0040987	C2718773	Moderate
C0016277	C0123931	Moderate
C1172734	C1608841	Major
C3273719	C3700399	Minor
C0025746	C0031495	Major
C0209210	C0245561	Major
C0032825	C0076823	Unknown
C0028365	C0052940	Moderate
C0042874	C0247025	Moderate
C0085542	C4086264	Moderate
C0011777	C0170531	Moderate
C0025815	C0064113	Major
C0012702	C0016280	Moderate
C0042679	C0132326	Moderate
C0286651	C2353893	Moderate
C0082966	C0220578	Major
C0022957	C0028126	Unknown
C0025677	C0529351	Unknown
C0012373	C2973446	Moderate
C0282386	C0907402	Major
C0030899	C0536495	Unknown
C0011777	C0012265	Moderate
C0029995	C0040610	Unknown
C0009074	C0296800	Minor
C0026259	C0066677	Unknown
C0879399	C1099456	Moderate
C0014964	C0039736	Moderate
C0666743	C2001856	Major
C0000970	C0016945	Unknown
C3264621	C4078806	Moderate
C0244656	C2830183	Moderate
C0022635	C1145760	Moderate
C0004057	C0537270	Moderate
C0032825	C0060405	Unknown
C0025611	C0033223	Major
C0025376	C0596004	Moderate
C0054094	C4078312	Major
C0036442	C0066101	Moderate
C0033399	C1313386	Moderate
C0017861	C0753645	Moderate
C0042523	C0050940	Unknown
C0039865	C2699757	Moderate
C0043822	C0962603	Moderate
C0033216	C2343589	Moderate
C0085173	C0536495	Major
C0027679	C0054201	Moderate
C0006686	C0216784	Unknown
C0006464	C1831796	Moderate
C0078569	C0085173	Moderate
C0028420	C0055147	Moderate
C0014806	C0015772	Moderate
C0018318	C0031469	Moderate
C0021246	C0086073	Unknown
C0014310	C0032952	Major
C0051919	C3661315	Moderate
C0017245	C0033567	Unknown
C0085149	C0249458	Major
C0033429	C1337242	Moderate
C0001927	C0015020	Unknown
C0025854	C0071129	Moderate
C0014479	C0025741	Moderate
C0001927	C0033743	Moderate
C0002371	C0011276	Moderate
C0005640	C0039286	Major
C0028066	C0082646	Unknown
C0525005	C2353951	Moderate
C0064585	C0282386	Moderate
C0030095	C0220578	Moderate
C0028978	C0030049	Unknown
C0060405	C0074554	Unknown
C2930696	C3818721	Major
C0008838	C1872109	Major
C0027360	C2935436	Moderate
C0066535	C0526371	Moderate
C0006463	C0006938	Unknown
C0030350	C3657824	Major
C0025152	C0025872	Unknown
C1099414	C3886623	Minor
C0024476	C0043832	Moderate
C0020740	C0069805	Unknown
C0006674	C0020740	Unknown
C0033228	C0127615	Unknown
C0042291	C0054201	Unknown
C0062941	C3852217	Moderate
C0021734	C0076891	Moderate
C0004057	C0031955	Unknown
C0032483	C1453642	Moderate
C0014563	C0525678	Moderate
C0066101	C0795674	Moderate
C0015620	C1831731	Moderate
C0210657	C4291328	Moderate
C0020268	C0252643	Moderate
C0020740	C0022635	Moderate
C4049146	C4519323	Moderate
C0246330	C1718383	Major
C0016368	C0033126	Moderate
C0004259	C0042105	Unknown
C0006388	C3489483	Moderate
C0012091	C0092777	Moderate
C0022252	C0040864	Unknown
C0002475	C0045093	Moderate
C0011777	C3852938	Moderate
C1722260	C1722267	Moderate
C0011707	C0903898	Minor
C0717758	C1174995	Moderate
C0001367	C0290883	Unknown
C0023992	C0033487	Moderate
C0772089	C4279743	Moderate
C0028066	C0127615	Unknown
C1122087	C2742797	Major
C0000970	C0036079	Minor
C0246689	C2825121	Moderate
C0042839	C0216784	Unknown
C0041056	C0074554	Unknown
C0028066	C2931926	Minor
C0014892	C0081876	Unknown
C0051809	C0245561	Moderate
C0026234	C4044947	Major
C0013089	C4508938	Moderate
C1098510	C1707080	Major
C0169964	C0257190	Moderate
C0009079	C2698692	Major
C0246689	C0282386	Major
C0033148	C0034282	Moderate
C0011786	C3491971	Moderate
C0140575	C1176309	Major
C0064079	C0068333	Moderate
C0054201	C1707080	Moderate
C0002644	C0005038	Moderate
C0014582	C0030125	Moderate
C0015133	C0031412	Moderate
C0254119	C2986924	Moderate
C0033148	C4045494	Major
C0004609	C0074493	Moderate
C0293359	C0533545	Major
C0002640	C1831796	Moderate
C0380393	C1174893	Moderate
C1706668	C4045494	Moderate
C0028420	C3272698	Moderate
C0754011	C5226874	Moderate
C0011777	C1831796	Moderate
C1516119	C4086837	Major
C0032950	C0033308	Unknown
C0006863	C0058218	Moderate
C0021186	C0771269	Moderate
C0015043	C0066101	Moderate
C0076107	C0908935	Unknown
C0525227	C0754659	Unknown
C0092801	C4044947	Major
C0073992	C0143083	Moderate
C0330270	C4049146	Moderate
C0017066	C3273711	Moderate
C0022265	C0039902	Moderate
C0030049	C0039663	Moderate
C0050940	C0164662	Unknown
C0031923	C0040864	Unknown
C0000981	C0064585	Moderate
C0031849	C0033405	Moderate
C0006699	C0028365	Moderate
C0027373	C0525678	Moderate
C0023586	C0772089	Moderate
C0008929	C0030883	Moderate
C0001927	C0061863	Moderate
C0026388	C0074769	Moderate
C1144149	C4519323	Moderate
C0766326	C3264621	Major
C0085542	C2350866	Moderate
C3657824	C3853822	Major
C0033126	C0092801	Major
C0027360	C0085542	Moderate
C0039736	C0296800	Unknown
C0006686	C0022957	Unknown
C0022026	C0070895	Major
C0380393	C2973895	Moderate
C0014310	C0039871	Minor
C0010620	C4550368	Moderate
C0008783	C1257385	Major
C0039865	C0330206	Moderate
C0022487	C0042313	Moderate
C0028978	C0759933	Unknown
C0057258	C0058218	Moderate
C0010592	C0055147	Unknown
C0025605	C0073992	Moderate
C0033228	C3848580	Moderate
C3818721	C4287815	Major
C0002640	C3501358	Moderate
C0123931	C0292818	Major
C0143083	C4287815	Moderate
C0016365	C0082607	Unknown
C0016365	C3181682	Major
C0937846	C4482908	Moderate
C0038432	C2828290	Minor
C0037982	C4079830	Major
C0068771	C1998098	Major
C0008929	C0025382	Moderate
C0057558	C1611934	Moderate
C0015020	C0025741	Moderate
C0877880	C2980094	Major
C0795635	C1176309	Moderate
C0663733	C0903898	Moderate
C0078847	C0537147	Unknown
C0059985	C3273711	Moderate
C0010583	C0012306	Unknown
C0913246	C3467876	Moderate
C0066101	C0085217	Moderate
C0002600	C0020268	Unknown
C0001962	C0022635	Moderate
C0006246	C0070122	Moderate
C0012125	C0762662	Unknown
C0070549	C2974540	Moderate
C0042523	C0123931	Moderate
C0036579	C4080091	Moderate
C0085173	C3853822	Moderate
C0047683	C3489764	Moderate
C0006464	C0041031	Moderate
C0002555	C1311070	Moderate
C0257685	C0378482	Unknown
C0027360	C0072973	Moderate
C0391001	C1269691	Moderate
C2003424	C2607479	Moderate
